bioproject,status,title,submitter,doi,citation,reviewed_by,reviewed_on,notes
PRJNA1327819,unreviewed,Population Genetic Structure of Three-Spined Sticklebacks in the St. Lawrence: A Gradient of Change,Universite Laval,10.1093/g3journal/jkag086,Delaive S et al. (2026) The genomic architecture of local adaptation in two connected populations of three-spined stickleback,,,
PRJNA1329683,unreviewed,Threespine stickleback from lakes with/without sculpin project,University of British Columbia,10.1073/pnas.2506625122,Roesti M et al. (2025) A species interaction kick-starts ecological speciation in allopatry,,,
PRJNA1333566,unreviewed,Population Genomic Sequencing of Dasypus novemcinctus,Texas A&M University,,,,,no Europe PMC full-text match
PRJNA1338100,unreviewed,Chlamydotis macqueenii Genome sequencing,OIKOS Genomics,10.1038/s41598-025-33691-3,Hoareau TB et al. (2026) Genome wide data recover hierarchical genetic structure and help define conservation units for the threatened Asian Houbara,,,
PRJNA1357362,unreviewed,Whole genome sequencing of a chimpanzee pedigree,Columbia University,,,,,no Europe PMC full-text match
PRJNA1380438,unreviewed,Structural variation landscape of the Yellowfin seabream pangenome,Sun Yat-sen University,10.1016/j.isci.2026.115539,Hu Y et al. (2026) The pangenome of &lt;i&gt;Acanthopagrus&lt;/i&gt; provides genomic variation evidence for genetic diversity,,,
PRJNA1424374,unreviewed,WGS of Common Yellowthroat (Geothlypis trichas),Colorado State University,,,,,no Europe PMC full-text match
PRJNA1435549,unreviewed,"Serinus canaria (canary) genome, bSerCaa2, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1435550,unreviewed,"Serinus canaria (canary) genome, bSerCaa3, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1462765,unreviewed,"Dryobates pubescens (downy woodpecker) genome, bDryPub1, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1462766,unreviewed,"Cyclopterus lumpus (lumpfish) genome, fCycLum1, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA160933,unreviewed,Ovis aries diversity study,International Sheep Genomics Consortium,10.1186/s12864-026-12966-7,Sun X et al. (2026) Whole-genome resequencing revealed genetic diversity and the haplotype containing MC1R associated with black coat color in Liangshan sheep,,,15 candidates; top one shown
PRJNA204958,unreviewed,Gasterosteus aculeatus Genome sequencing,Laboratory of Evolutionary Genomics,10.1093/molbev/msad068,Ord J et al. (2023) High Nucleotide Diversity Accompanies Differential DNA Methylation in Naturally Diverging Populations,,,
PRJNA212874,unreviewed,Dryobates pubescens Genome sequencing and assembly,BGI,10.1186/s13059-014-0539-3,Cui J et al. (2014) Low frequency of paleoviral infiltration across the  avian phylogeny,,,4 candidates; top one shown
PRJNA212891,unreviewed,Chlamydotis macqueenii Genome sequencing and assembly,BGI,10.1186/s13059-014-0539-3,Cui J et al. (2014) Low frequency of paleoviral infiltration across the  avian phylogeny,,,4 candidates; top one shown
PRJNA212896,unreviewed,Haliaeetus albicilla Genome sequencing and assembly,BGI,10.1186/s13059-014-0539-3,Cui J et al. (2014) Low frequency of paleoviral infiltration across the  avian phylogeny,,,4 candidates; top one shown
PRJNA214891,unreviewed,Sturnus vulgaris Random survey,Deakin University,,,,,no Europe PMC full-text match
PRJNA221548,unreviewed,Esox lucius Genome sequencing and assembly,University of Victoria,10.1038/s41598-026-44703-1,Ali A et al. (2026) Splicing retention and enhancer divergence govern the evolutionary fate of ohnologues following whole-genome duplication in rainbow trout,,,2 candidates; top one shown
PRJNA238851,unreviewed,Sus scrofa scrofa strain:Tongcheng pigs Genome sequencing,Huazhong Agricultural University,10.3389/fgene.2022.1070783,Peng Y et al. (2022) Distinct traces of mixed ancestry in western commercial pig genomes following gene flow from Chinese indigenous breeds,,,5 candidates; top one shown
PRJNA255814,unreviewed,Passer domesticus isolate:8887266 Genome sequencing and assembly,Sparrow Genome Consortium,10.1093/gbe/evae049,David G et al. (2024) Calling Structural Variants with Confidence from Short-Read Data in Wild Bird Populations,,,3 candidates; top one shown
PRJNA274879,unreviewed,Cetacea Genome sequencing,Seoul National Univerisity,,,,,no Europe PMC full-text match
PRJNA275819,unreviewed,Whole genome sequencing of Swainson's thrushes,University of British Columbia,,,,,no Europe PMC full-text match
PRJNA277231,unreviewed,Ovis canadensis Genome sequencing,CSIRO,,,,,no Europe PMC full-text match
PRJNA293892,unreviewed,Sturnus vulgaris Genome sequencing and assembly,Starling Genome Consortium,,,,,no Europe PMC full-text match
PRJNA300534,unreviewed,Red coloration in Birds,"CIBIO/InBIO, Centro de Investigacao em Biodiversidade e Recursos Geneticos",10.1093/ve/veab003,Iwamoto M et al. (2021) Identification of novel avian and mammalian deltaviruses provides new insights into deltavirus evolution,,,2 candidates; top one shown
PRJNA304409,unreviewed,Tectonic collision and uplift of Wallacea triggered the global songbird radiation,Louisiana State University,10.3390/ijms27167433,Lombardo G et al. (2026) Mitogenomes Reveal Novel Phylogeographic Patterns and Temporal Evolutionary History of Barn Swallows and Close Relatives,,,2 candidates; top one shown
PRJNA304992,unreviewed,Lycaon pictus Genome sequencing and assembly,Smithsonian Institution,10.1186/s12864-016-3368-9,"Campana MG et al. (2016) Genome sequence, population history, and pelage genetics of the endangered African wild dog (Lycaon pictus)",,,
PRJNA310684,unreviewed,Genetic analysis of inherited coat color and morphological traits in Swiss goat breeds,University of Bern,10.1016/j.vas.2026.100626,Petzl E et al. (2026) Identification of a recessive &lt;i&gt;PCDH15&lt;/i&gt; nonsense variant in purebred goats with vestibular dysfunction,,,6 candidates; top one shown
PRJNA320912,unreviewed,Lateolabrax maculatus Raw sequence reads,Shanghai Ocean University,,,,,no Europe PMC full-text match
PRJNA321499,unreviewed,Catharus ustulatus Raw sequence reads,University of British Columbia,,,,,no Europe PMC full-text match
PRJNA323498,unreviewed,Hirundo rustica Genome sequencing and assembly,The University of Colorado,10.3390/ijms27167433,Lombardo G et al. (2026) Mitogenomes Reveal Novel Phylogeographic Patterns and Temporal Evolutionary History of Barn Swallows and Close Relatives,,,4 candidates; top one shown
PRJNA325682,unreviewed,SheepCRC whole genome sequencing,"Department of Economic Development, Jobs, Transport and Resources",10.1186/s12864-024-11130-3,"Shan M et al. (2025) Significance of KLK7 expression, polymorphisms, and function in sheep horn growth",,,11 candidates; top one shown
PRJNA335553,unreviewed,Pooled sequencing of minke populations for genetic marker development,Institute of Marine Research,10.1186/s12864-016-3416-5,Malde K et al. (2017) Whole genome resequencing reveals diagnostic markers for investigating global migration and hybridization between minke whale species,,,
PRJNA339626,unreviewed,Eublepharis macularius Genome sequencing and assembly,BGI,10.1186/s13742-016-0151-4,"Xiong Z et al. (2016) Draft genome of the leopard gecko, Eublepharis macularius",,,
PRJNA348348,unreviewed,Jaguar Genome Project,PUCRS,10.1186/s13059-025-03868-0,Meißner R et al. (2025) Unraveling genome- and immunome-wide genetic diversity in modern and historical Jaguars,,,4 candidates; top one shown
PRJNA353147,unreviewed,Shinisaurus crocodilurus Raw sequence reads,BGI,10.1111/mec.16121,"Iannucci A et al. (2021) Population structure, genomic diversity and demographic history of Komodo dragons inferred from whole-genome sequencing",,,2 candidates; top one shown
PRJNA354496,unreviewed,Corkwing wrasse genetics in Northern Europe,University of Agder,,,,,no Europe PMC full-text match
PRJNA376394,unreviewed,quaddRAD protocol,University of Konstanz,,,,,no Europe PMC full-text match
PRJNA385882,unreviewed,Ovis aries musimon Raw sequence reads,Inner Mongolia Agricultural University,,,,,no Europe PMC full-text match
PRJNA389516,unreviewed,Baleen whale resequencing,Senckenberg Gesellschaft fuer Naturforschung,10.1126/sciadv.aap9873,Árnason Ú et al. (2018) Whole-genome sequencing of the blue whale and other rorquals finds signatures for introgressive gene flow,,,
PRJNA399410,unreviewed,Ovis canadensis isolate:BS48 Genome sequencing and assembly,Broad Institute,10.1093/gbe/evae090,"Atağ G et al. (2024) Population Genomic History of the Endangered Anatolian and Cyprian Mouflons in Relation to Worldwide Wild, Feral, and Domestic Sheep Lineages",,,
PRJNA399411,unreviewed,Panthera onca isolate:BS21 Genome sequencing and assembly,Broad Institute,,,,,no Europe PMC full-text match
PRJNA399444,unreviewed,Myotis myotis isolate:US100 Genome sequencing and assembly,Broad Institute,,,,,no Europe PMC full-text match
PRJNA407434,unreviewed,Whole genome sequencing of the Chinese seabass (Lateolabrax maculatus),"College of Ocean and Earth Sciences, Xiamen University",10.3389/fgene.2019.01126,Tian Y et al. (2019) Characterization of Full-Length Transcriptome Sequences and Splice Variants of <i>Lateolabrax maculatus</i> by Single-Molecule Long-Read Sequencing and Their Involvement in Salinity Regulation,,,2 candidates; top one shown
PRJNA416843,unreviewed,Betta splendens isolate:Giant Genome sequencing and assembly,BGI,10.1371/journal.pone.0298564,Lin G et al. (2024) Puzzle Hi-C: An accurate scaffolding software,,,2 candidates; top one shown
PRJNA418771,unreviewed,Sus scrofa scrofa breed:NS Genome sequencing,University of Messina,10.1038/s41598-026-48764-0,Torres HF et al. (2026) Phylogenomic insights into the evolutionary history of the Amazonian Creole pig using nuclear genome data and maximum-likelihood analyses,,,2 candidates; top one shown
PRJNA431699,unreviewed,Birds of prey genome,GEROMICS,10.1186/s13059-019-1793-1,Cho YS et al. (2019) Raptor genomes reveal evolutionary signatures of predatory and nocturnal lifestyles,,,
PRJNA436966,unreviewed,Gasterosteus aculeatus Raw sequence reads,University of Georgia,,,,,no Europe PMC full-text match
PRJNA448954,unreviewed,Whole-genome analysis of Mustela erminea finds that pulsed hybridization impacts evolution at high-latitudes,Nanyang Technological University,,,,,no Europe PMC full-text match
PRJNA464344,unreviewed,Piciformes transposable elements,Texas Tech University,10.1093/gbe/evy105,Manthey JD et al. (2018) Multiple and Independent Phases of Transposable Element Amplification in the Genomes of Piciformes (Woodpeckers and Allies),,,
PRJNA488046,unreviewed,Lycaon pictus Genome sequencing and assembly,Stanford University,10.1093/gigascience/giy124,Armstrong EE et al. (2019) Cost-effective assembly of the African wild dog (Lycaon pictus) genome using linked reads,,,2 candidates; top one shown
PRJNA488093,unreviewed,African wild dog (Lycaon pictus) whole genome raw sequence reads.,University of California at Los Angeles,,,,,no Europe PMC full-text match
PRJNA504493,unreviewed,"Yunling black goat, Nubian goat Raw sequence reads",Northwest A&F university,10.3389/fgene.2019.00145,Cao Y et al. (2019) Genetic Basis of Phenotypic Differences Between Chinese Yunling Black Goats and Nubian Goats Revealed by Allele-Specific Expression in Their F1 Hybrids,,,
PRJNA504596,unreviewed,Thunnus albacares draft genome assembly and linkage map,University of Southern Mississippi Gulf Coast Research Lab,,,,,no Europe PMC full-text match
PRJNA506801,unreviewed,High-throughput chromosome conformation capture of liver in Chinese Spotted Seabass (Lateolabrax maculatus),Ocean University of China,,,,,no Europe PMC full-text match
PRJNA509694,unreviewed,Ovis aries Genome sequencing,AgResearch,10.1186/s12864-024-11130-3,"Shan M et al. (2025) Significance of KLK7 expression, polymorphisms, and function in sheep horn growth",,,6 candidates; top one shown
PRJNA512507,unreviewed,Whole Genome Resequencing in North American northern pike,University of Victoria,10.1093/g3journal/jkae183,Johnson HA et al. (2024) Loss of genetic variation and ancestral sex determination system in North American northern pike characterized by whole-genome resequencing,,,
PRJNA512907,unreviewed,DNA Zoo,DNA Zoo,10.1093/molbev/msag009,Emerling CA et al. (2026) Pseudogenes document protracted parallel regression of oral anatomy in myrmecophagous mammals,,,26 candidates; top one shown
PRJNA514887,unreviewed,Esox lucius Genome sequencing and assembly,INRA,10.1371/journal.pgen.1008013,Pan Q et al. (2019) Identification of the master sex determining gene in Northern pike (Esox lucius) reveals restricted sex chromosome differentiation,,,
PRJNA514888,unreviewed,Identifying and characterizing the sex locus of Esox lucius,INRA,10.1371/journal.pgen.1008013,Pan Q et al. (2019) Identification of the master sex determining gene in Northern pike (Esox lucius) reveals restricted sex chromosome differentiation,,,
PRJNA522329,unreviewed,"There are five species in this project, including T.rubripes, T.flavidus, T.bimaculatus, T.niphobles, and T.obscurus.",CAFS,10.1186/s12915-025-02296-7,He RS et al. (2025) Construction of the graph genomes of Takifugu provides novel insights into the genomic mechanisms of population structure and migratory traits,,,2 candidates; top one shown
PRJNA523711,unreviewed,African sheep whole genome sequences (SheepGenomeDB),SheepGenomeDB (SGB),10.1111/mec.17796,Wiener P et al. (2025) Genomic Analysis of Hair Sheep From West/Central Africa Reveals Unique Genetic Diversity and Ancestral Links to Breed Formation in the Caribbean,,,2 candidates; top one shown
PRJNA525775,unreviewed,Gasterosteus aculeatus Genome sequencing and assembly,Institute of Ecology and Evolution,10.3390/genes10060426,"Berner D et al. (2019) <i>De Novo</i> Sequencing, Assembly, and Annotation of Four Threespine Stickleback Genomes Based on Microfluidic Partitioned DNA Libraries",,,
PRJNA531381,unreviewed,Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly,Hunan Agricultural university,10.1038/s42003-026-09557-3,Chen D et al. (2026) The Neijiang pig T2T genome reveals domestication history and germplasm traits of Southwest Chinese local breeds,,,6 candidates; top one shown
PRJNA542243,unreviewed,Draft genomes of female and male turbot (Scophthalmus maximus),Yellow Sea Fisheries Research Institute,,,,,no Europe PMC full-text match
PRJNA545868,unreviewed,"Bird 10,000 Genomes (B10K) Project - Family phase",B10K Consortium,10.1111/eva.70125,Ho WZ et al. (2025) Epigenetic Responses to Anthropogenic Versus Natural Sources of Oil Exposure Differ in Wild Arctic Seabird Populations,,,15 candidates; top one shown
PRJNA552984,unreviewed,Zebra finch testis and somatic tissue sequencing,University of Granada,10.1038/s41467-019-13427-4,Kinsella CM et al. (2019) Programmed DNA elimination of germline development genes in songbirds,,,
PRJNA555324,unreviewed,Neofelis nebulosa and Neofelis diardi Genome sequencing and assembly,Smithsonian Institution,10.1016/j.isci.2022.105647,Bursell MG et al. (2022) Whole genome analysis of clouded leopard species reveals an ancient divergence and distinct demographic histories,,,
PRJNA559291,unreviewed,Urucum canary pool-seq,CIBIO,,,,,no Europe PMC full-text match
PRJNA559409,unreviewed,Genome survey sequencing of Scatophagus argus,Guangdong Ocean University,10.3390/ani9121117,Huang Y et al. (2019) Genome Survey of Male and Female Spotted Scat (<i>Scatophagus argus</i>),,,
PRJNA559821,unreviewed,Whitefish_epigenetics,Universite Laval,10.1093/gbe/evae013,Venney CJ et al. (2024) Epigenetic and Genetic Differentiation Between Coregonus Species Pairs,,,
PRJNA561991,unreviewed,"Dryobates pubescens (Downy Woodpecker) genome, bDryPub1, primary haplotype",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA562003,unreviewed,"Cyclopterus lumpus (Lumpfish) genome, fCycLum1, primary haplotype",Vertebrate Genomes Project,10.3390/genes14101870,Maduna SN et al. (2023) Genomic Signatures of Local Adaptation under High Gene Flow in Lumpfish-Implications for Broodstock Provenance Sourcing and Larval Production,,,
PRJNA591356,unreviewed,A GENETIC MECHANISM FOR SEXUAL DICHROMATISM IN BIRDS,CIBIO,,,,,no Europe PMC full-text match
PRJNA591897,unreviewed,Transcriptional legacy in the armadillo,Cold Spring Harbor Laboratory,,,,,no Europe PMC full-text match
PRJNA602931,unreviewed,Genetic Basis of Auditory Pathology in the Belgian Waterslager Canary,University of Maryland College Park,,,,,no Europe PMC full-text match
PRJNA607895,unreviewed,Raw sequence reads from Danish species,University of Copenhagen,10.1186/s12864-026-12770-3,Verbinnen G et al. (2026) The diversity of insecticide target site mutations in Apis mellifera,,,2 candidates; top one shown
PRJNA608290,unreviewed,Mastacembelus armatus breed:fujian Genome sequencing and assembly,University of Vienna,10.1186/s13059-021-02430-y,Xue L et al. (2021) Telomere-to-telomere assembly of a fish Y chromosome reveals the origin of a young sex chromosome pair,,,
PRJNA611688,unreviewed,Capra hircus breed:Yunshang black Raw sequence reads,Chinese Academy of Agricultural Sciences,10.1186/s12864-026-12613-1,Zhang Y et al. (2026) Genome characteristics and identification of reproduction-related genes in Southwest meat goats,,,5 candidates; top one shown
PRJNA611920,unreviewed,The evolutionary history of extinct and living lions,Universitat Pompeu Fabra,10.1038/s42003-025-07986-0,Dussex N et al. (2025) Constraints to gene flow increase the risk of genome erosion in the Ngorongoro Crater lion population,,,2 candidates; top one shown
PRJNA625614,unreviewed,BSA analysis of Lateolabrax maculatus alkalinity resistance,Ocean University of China,,,,,no Europe PMC full-text match
PRJNA628559,unreviewed,Myotis myotis isolate:mMyoMyo1 Genome sequencing and assembly,Bat1K,10.1016/j.xgen.2023.100482,Foley NM et al. (2024) Karyotypic stasis and swarming influenced the evolution of viral tolerance in a species-rich bat radiation,,,
PRJNA629633,unreviewed,Betta splendens breed:HMPK Genome sequencing and assembly,Nanchang University,10.1126/sciadv.abm4955,Zhang W et al. (2022) The genetic architecture of phenotypic diversity in the Betta fish (<i>Betta splendens</i>),,,
PRJNA634624,unreviewed,Sex determination in the Esociformes,INRA,10.7554/elife.62858,Pan Q et al. (2021) The rise and fall of the ancient northern pike master sex-determining gene,,,
PRJNA637812,unreviewed,Scatophagus argus Genome sequencing,Guangdong Ocean University,10.1038/s42003-025-08056-1,Huang YQ et al. (2025) Allelic variation and duplication of the dmrt1 were associated with sex chromosome turnover in three representative Scatophagidae fish species,,,2 candidates; top one shown
PRJNA638440,unreviewed,Genome Resequencing of nine Takifugu species,Xiamen University,10.1186/s12915-025-02296-7,He RS et al. (2025) Construction of the graph genomes of Takifugu provides novel insights into the genomic mechanisms of population structure and migratory traits,,,2 candidates; top one shown
PRJNA647051,unreviewed,Ovis aries Genome sequencing,Gansu Agriculture University,,,,,no Europe PMC full-text match
PRJNA647536,unreviewed,Acanthopagrus latus isolate:XLZ-2019 Genome sequencing and assembly,Sun Yat-sen University,,,,,no Europe PMC full-text match
PRJNA648123,unreviewed,"Phase One Resequencing for 10,000 Dog Genome Consortium","10,000 Dog Genome Consortium",10.1038/s41598-025-33036-0,Rudolph TE et al. (2025) Identification of genetic variants associated with ear length in drop-eared dogs,,,8 candidates; top one shown
PRJNA649485,unreviewed,Chromosome differentiaion between Z and W potentially involved in sex determination in turbot,Aquafaang,10.1038/s41598-023-29826-z,Andersen Ø et al. (2023) Non-synonymous variation and protein structure of candidate genes associated with selection in farm and wild populations of turbot (Scophthalmus maximus),,,
PRJNA660737,unreviewed,Genome analysis of American mink fur colour variations,Vavilov Institute of General Genetics Russian Academy of Sciences,10.1038/s41598-022-14079-z,Manakhov AD et al. (2022) Identification of mutant gene for Black crystal coat and non-allelic gene interactions in Neogale vison,,,2 candidates; top one shown
PRJNA661201,unreviewed,Birds Island Genomic,Universite de Montpellier,10.1186/s12862-024-02320-4,Recuerda M et al. (2024) Repeated evolution on oceanic islands: comparative genomics reveals species-specific processes in birds,,,
PRJNA671542,unreviewed,Capra hircus Raw sequence reads,Southwest University,10.3390/ani12111356,Yuan Y et al. (2022) Genome-Wide Selective Analysis of Boer Goat to Investigate the Dynamic Heredity Evolution under Different Stages,,,
PRJNA671824,unreviewed,Contemporary Alaskan Threespine Stickleback whole genome Pool-Seq,Stony Brook University,10.1016/j.cub.2026.02.052,Yoxsimer AM et al. (2026) Rapid and repeated evolution of myosin copy number in threespine stickleback,,,2 candidates; top one shown
PRJNA672863,unreviewed,Comparaive study of two stickleback species,Ecological Genetics Research Unit,10.1098/rspb.2022.0352,Fraimout A et al. (2022) Age-dependent genetic architecture across ontogeny of body size in sticklebacks,,,2 candidates; top one shown
PRJNA674347,unreviewed,Fringilla coelebs coelebs isolate:17-825 Genome sequencing and assembly,Museo Nacional de Ciencias Naturales,10.1093/gbe/evab034,Recuerda M et al. (2021) Chromosome-Level Genome Assembly of the Common Chaffinch (Aves: Fringilla coelebs): A Valuable Resource for Evolutionary Biology,,,
PRJNA678815,unreviewed,Chromosome-level genome and population genomics reveal evolutionary characteristics and conservation status of Chinese indigenous geese,Jiangxi Science and Technology Normal University,10.1016/j.psj.2026.106858,Chen H et al. (2026) Genome-wide selection and association analyses implicate retinal and reproductive genes in laying-period variation of domestic geese,,,4 candidates; top one shown
PRJNA682377,unreviewed,Amphilophus citrinellus and Archocentrus centrarchus de novo genome sequencing,University of Konstanz,10.1111/mec.15774,Xiong P et al. (2021) The comparative genomic landscape of adaptive radiation in crater lake cichlid fishes,,,
PRJNA682530,unreviewed,Archocentrus centrarchus demographic analysis,University of Konstanz,10.1111/mec.15774,Xiong P et al. (2021) The comparative genomic landscape of adaptive radiation in crater lake cichlid fishes,,,
PRJNA686418,unreviewed,Peregrine migration project,Institute of Zoology,10.1002/ece3.10347,Johnson JA et al. (2023) Whole-genome survey reveals extensive variation in genetic diversity and inbreeding levels among peregrine falcon subspecies,,,
PRJNA687044,unreviewed,Genes enhancing disease resistance in Aleutian disease virus (ADV) infected American mink (Neovison vison),"Genetics, Department of Veterinary Clinical Sciences, Animal Genetics, Bioinformatics and Breeding,, University of copenhagen",,,,,no Europe PMC full-text match
PRJNA688781,unreviewed,Acanthopagrus latus  mitochondrion sequencing,Guangxi Academy of Fisheries Sciences,10.1007/s13205-022-03313-0,Liu K et al. (2022) Pipeline for developing polymorphic microsatellites in species without reference genomes,,,2 candidates; top one shown
PRJNA688809,unreviewed,Scatophagus argus mitochondrion seqrencing,Guangxi Academy of Fisheries Sciences,10.1080/23802359.2021.1959445,"Pan C et al. (2021) The complete mitochondrial genome of <i>Scatophagus argus</i> (Perciformes, Scatophagidae) from Beibu Bay and phylogenetic analysis",,,
PRJNA688938,unreviewed,G10K_VGP_Genome_Sequencing,Vertebrate Genome Project(VGP),,,,,no Europe PMC full-text match
PRJNA689926,unreviewed,Betta splendens whole genome re-sequencing,Nanchang University,10.1126/sciadv.abm4955,Zhang W et al. (2022) The genetic architecture of phenotypic diversity in the Betta fish (<i>Betta splendens</i>),,,
PRJNA698222,unreviewed,Zebra Finch (Taeniopygia guttata) sequencing,American University,10.1093/gbe/evab088,"Asalone KC et al. (2021) A Transcriptomic Pipeline Adapted for Genomic Sequence Discovery of Germline-Restricted Sequence in Zebra Finch, Taeniopygia guttata",,,
PRJNA699447,unreviewed,Genomic raw sequence reads of Huai Goat and Yudong goat,Northwest A&F University,10.1186/s12864-023-09204-9,Yao Z et al. (2023) Genetic diversity and signatures of selection in BoHuai goat revealed by whole-genome sequencing,,,
PRJNA701455,unreviewed,Whole genome re-sequencing of spotted sea bass,Xiamen University,10.1111/1755-0998.70180,Zhang C et al. (2026) The Pan-Genome of 1107 Spotted Sea Bass Accessions Reveals Gene Evolution Patterns During Domestication Selection,,,2 candidates; top one shown
PRJNA706841,unreviewed,Sturnus vulgaris isolate:sv1000_unsw Genome sequencing and assembly,The University of New South Wales,10.1111/1755-0998.13679,Stuart KC et al. (2022) Transcript- and annotation-guided genome assembly of the European starling,,,
PRJNA715201,unreviewed,Wall lizards (genus Podarcis) Genome Sequencing,Lund University,10.1093/molbev/msab311,Yang W et al. (2022) Population Genomics of Wall Lizards Reflects the Dynamic History of the Mediterranean Basin,,,2 candidates; top one shown
PRJNA722049,unreviewed,Selective signature associated with coat colour in swan and greylag geese,Shanghai Academy of Agricultural Sciences,10.1371/journal.pcbi.1014603,Lee H et al. (2026) A portable recalibration workflow for reference-based variant calling in non-human genomes,,,2 candidates; top one shown
PRJNA726336,unreviewed,"Chinese crocodile lizard Genome sequencing, assembly and population resequencing","Institute of Zoology, Chinese Academy of Sciences",10.1093/molbev/msab359,Xie HX et al. (2022) Ancient Demographics Determine the Effectiveness of Genetic Purging in Endangered Lizards,,,
PRJNA72723,unreviewed,Cetacea Genome sequencing and assembly,Korea Ocean Research & Development Institute,10.1016/j.cell.2023.05.002,Tyshkovskiy A et al. (2023) Distinct longevity mechanisms across and within species and their association with aging,,,3 candidates; top one shown
PRJNA730084,unreviewed,Genome sequencing to identify Lemon Frost mutation in Leopard Geckos,"University of California, Los Angeles",10.1186/s12915-026-02661-0,Hastings BT et al. (2026) Dissecting cancer in a non-mammalian model: genomic insights from lemon frost geckos,,,2 candidates; top one shown
PRJNA734331,unreviewed,Common yellowthroat Raw sequence reads,University of Wisconsin-Milwaukee,10.1073/pnas.2120482119,Sly ND et al. (2022) Molecular parallelism in signaling function across different sexually selected ornaments in a warbler,,,
PRJNA740148,unreviewed,genome resequencing of Rhinolophus affinis,East China Normal University,10.1186/s12983-021-00424-x,Ding Y et al. (2021) Mitonuclear mismatch alters nuclear gene expression in naturally introgressed Rhinolophus bats,,,
PRJNA741250,unreviewed,"Zebra finch ejaculates (Taeniopygia guttata castanotis), testis and somatic tissue (T. g. castanotis and one castanotis x guttata hybrid) sequencing",Max Planck Institute for Ornithology,10.1073/pnas.2103960119,Pei Y et al. (2022) Occasional paternal inheritance of the germline-restricted chromosome in songbirds,,,
PRJNA741394,unreviewed,Neogale vison isolate:M4711 Genome sequencing and assembly,Dalhousie University,10.1038/s42003-022-04341-5,Karimi K et al. (2022) A chromosome-level genome assembly reveals genomic characteristics of the American mink (Neogale vison),,,
PRJNA745563,unreviewed,Whole-genome sequencing of kiwi (Apteryx),University of Toronto Scarborough,10.1098/rspb.2021.2362,Bemmels JB et al. (2021) Demographic decline and lineage-specific adaptations characterize New Zealand kiwi,,,
PRJNA748185,unreviewed,largemouth bass genome sequencing,Jimei University,10.3389/fmolb.2024.1443522,Han W et al. (2024) Genome-wide association study for growth traits with 1066 individuals in largemouth bass (<i>Micropterus salmoides</i>),,,
PRJNA751981,unreviewed,Phocoena sinus whole genome raw sequence reads,University of California San Francisco,10.1126/science.abm1742,Robinson JA et al. (2022) The critically endangered vaquita is not doomed to extinction by inbreeding depression,,,
PRJNA754250,unreviewed,1k pigs project,Chinese Academy of Agricultural Sciences,10.1016/j.isci.2025.111983,He S et al. (2025) Systematic benchmarking of tools for structural variation detection using short- and long-read sequencing data in pigs,,,5 candidates; top one shown
PRJNA761298,unreviewed,Comparative population genomics of cryptic speciation and adaptive divergence in Bicknell's and Gray-cheeked Thrushes (Aves: Catharus bicknelli and C. minimus) Journal: Genome Biology and Evolution,Harvard University,10.1093/gbe/evab255,Termignoni-Garcia F et al. (2022) Comparative Population Genomics of Cryptic Speciation and Adaptive Divergence in Bicknell's and Gray-Cheeked Thrushes (Aves: Catharus bicknelli and Catharus minimus),,,
PRJNA764308,unreviewed,"Ovis aries, Ovis ammon, Ovis canadensis, Ovis vignei, Ovis musimon, Ovis nivicola, Ovis dalli, Ovis orientalis Clean sequence reads",China Agricultural University,10.1093/gbe/evae090,"Atağ G et al. (2024) Population Genomic History of the Endangered Anatolian and Cyprian Mouflons in Relation to Worldwide Wild, Feral, and Domestic Sheep Lineages",,,2 candidates; top one shown
PRJNA767757,unreviewed,Whole Genome Sequencing of goose,China Agricultural University,10.1186/s40104-022-00826-9,"Wen J et al. (2023) Origins, timing and introgression of domestic geese revealed by whole genome data",,,
PRJNA773662,unreviewed,Physiological implications of pheomelanin synthesis in Zebra finches,BIOPOLIS/CIBIO-InBIO Research Center in Biodiversity and Genetic Resources,10.1016/j.isci.2025.112937,Marques CI et al. (2025) Physiological plasticity in zebra finch color varieties mitigates DNA damage under oxidative stress,,,
PRJNA778896,unreviewed,Betta splendens whole genome sequencing,Columbia University,10.1126/sciadv.abm4950,Kwon YM et al. (2022) Genomic consequences of domestication of the Siamese fighting fish,,,
PRJNA781657,unreviewed,Cyclopterus lumpus isolate:Atl_lumpfish Genome sequencing and assembly,Memorial University of Newfoundland,,,,,no Europe PMC full-text match
PRJNA784366,unreviewed,High-quality reference genome assemblies of Suffolk sheep,Northwest A&F University,,,,,no Europe PMC full-text match
PRJNA785747,unreviewed,Largemouth bass pool sequencing,Hunan Normal University,,,,,no Europe PMC full-text match
PRJNA792617,unreviewed,Identification of stress-related genes by co-expression network analysis based on the improved turbot genome,Yellow Sea fisheries Research Institution,,,,,no Europe PMC full-text match
PRJNA794321,unreviewed,NYUAD Falco 10X Falco Reference Sequencing,New York University Abu Dhabi,,,,,no Europe PMC full-text match
